age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
34,services,divorced,basic.9y,no,yes,no,cellular,may,mon,465,1,999,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,no
30,technician,married,university.degree,unknown,no,no,telephone,may,tue,123,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,no
44,admin.,married,university.degree,no,yes,no,cellular,oct,mon,252,1,999,0,nonexistent,-1.1,94.601,-49.5,1,4963.6,yes
40,blue-collar,married,basic.9y,unknown,no,no,telephone,may,wed,32,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,no
55,admin.,divorced,high.school,no,unknown,unknown,cellular,apr,fri,278,2,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no
23,technician,single,high.school,no,no,no,cellular,may,thu,104,1,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,no
32,blue-collar,single,basic.6y,no,no,no,cellular,apr,mon,87,4,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no
51,admin.,married,high.school,unknown,no,no,telephone,may,tue,280,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,no
33,admin.,single,high.school,no,yes,no,cellular,jun,tue,167,1,999,0,nonexistent,-2.9,92.963,-40.8,1.262,5076.2,no
42,services,married,professional.course,no,yes,no,cellular,may,thu,103,2,999,1,failure,-1.8,92.893,-46.2,1.327,5099.1,no
57,management,married,university.degree,no,no,no,cellular,mar,mon,341,2,999,0,nonexistent,-1.8,93.369,-34.8,0.635,5008.7,yes
39,blue-collar,married,basic.4y,unknown,no,no,cellular,jul,mon,222,1,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,no
48,admin.,married,high.school,no,yes,no,telephone,may,mon,218,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,no
47,blue-collar,single,basic.9y,unknown,no,no,cellular,may,wed,159,1,999,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1,no
33,blue-collar,married,basic.9y,unknown,no,yes,telephone,may,thu,113,3,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,no
51,technician,single,professional.course,no,no,no,cellular,aug,wed,1740,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no
49,blue-collar,married,basic.9y,unknown,yes,no,cellular,aug,tue,60,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
56,unknown,single,basic.9y,no,no,yes,cellular,jul,mon,53,8,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
39,admin.,single,university.degree,no,yes,yes,cellular,jul,mon,25,18,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
41,self-employed,married,basic.9y,no,yes,no,telephone,jun,wed,376,7,999,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,no
37,blue-collar,married,basic.9y,no,yes,no,telephone,jun,fri,172,2,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,no
27,admin.,single,high.school,no,yes,yes,cellular,jul,mon,138,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
35,entrepreneur,single,university.degree,no,yes,no,cellular,jul,mon,88,5,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,no
28,blue-collar,married,basic.9y,unknown,yes,no,telephone,apr,fri,254,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no
44,blue-collar,married,basic.9y,no,yes,no,cellular,may,mon,309,1,999,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,no
35,admin.,married,university.degree,unknown,no,no,cellular,jul,tue,105,2,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
30,technician,single,professional.course,no,no,no,cellular,aug,tue,216,3,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
55,admin.,divorced,professional.course,unknown,no,no,cellular,jul,mon,68,4,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
53,blue-collar,divorced,basic.4y,unknown,yes,no,telephone,jun,mon,57,1,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,no
35,self-employed,married,university.degree,no,yes,no,telephone,aug,tue,88,1,999,1,failure,-2.9,92.201,-31.4,0.883,5076.2,no
25,services,single,unknown,no,no,no,telephone,jul,fri,662,4,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,no
53,blue-collar,married,basic.4y,unknown,yes,yes,telephone,jul,fri,131,7,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,no
45,blue-collar,single,high.school,unknown,yes,no,cellular,may,mon,29,6,999,1,failure,-1.8,92.893,-46.2,1.244,5099.1,no
35,technician,single,university.degree,no,yes,yes,cellular,aug,mon,176,3,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
66,retired,married,high.school,no,yes,no,cellular,jul,tue,317,1,999,0,nonexistent,-1.7,94.215,-40.3,0.835,4991.6,yes
43,technician,divorced,professional.course,no,yes,no,cellular,may,mon,143,1,999,0,nonexistent,-1.8,92.893,-46.2,1.264,5099.1,no
35,blue-collar,married,basic.6y,unknown,yes,no,telephone,may,tue,389,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,no
44,housemaid,married,basic.4y,no,yes,no,cellular,may,wed,31,1,999,1,failure,-1.8,92.893,-46.2,1.281,5099.1,no
36,blue-collar,married,basic.9y,no,no,no,cellular,apr,thu,171,1,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,no
30,blue-collar,married,basic.9y,no,no,no,cellular,may,wed,129,1,999,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1,no
25,blue-collar,married,basic.4y,no,no,no,cellular,jul,thu,420,2,999,0,nonexistent,1.4,93.918,-42.7,4.958,5228.1,no
